08 03 23  21:30   -1.1   -1.1   -1.3    85   -3.3   1.6   ENE   0.80   3.2   ENE   -1.1   -1.2   -1.2   994.6  0.00   0.0   0.405   0.000   29.0    21    4.5   27.4   703    1    100.0   30 
08 03 23  23:30   -0.8   -0.7   -0.8    87   -2.7   1.6     E   0.80  12.9   SSE   -0.8   -0.9   -0.9   993.0  0.00   0.0   0.398   0.000   29.4    20    4.1   27.7   703    1    100.0   30 
08 03 24   2:00   -1.7   -1.2   -1.7    94   -2.5   3.2     E   1.61  14.5     E   -2.4   -1.7   -2.4   990.2  0.00   0.0   0.417   0.000   29.4    20    4.1   27.7   702    1    100.0   30 
08 03 24   3:00   -2.0   -1.7   -2.0    95   -2.7   6.4     E   3.22  19.3     E   -4.5   -2.1   -4.6   989.1  0.25   0.0   0.424   0.000   29.7    20    4.3   27.9   702    1    100.0   30 
08 03 24   4:00   -2.2   -2.2   -2.3    96   -2.8   4.8   ENE   2.41  17.7    NE   -4.0   -2.3   -4.1   987.9  0.25   0.0   0.428   0.000   29.6    20    4.2   27.8   702    1    100.0   30 
08 03 24   9:30   -3.5   -3.4   -3.7    95   -4.2   4.8    NE   2.41  19.3    NE   -5.4   -3.6   -5.5   985.4  0.00   0.0   0.455   0.000   24.8    26    4.0   24.1   703    1    100.0   30 
08 03 24  11:00   -3.4   -3.4   -3.5    95   -4.1   3.2   WNW   1.61  11.3   WNW   -4.3   -3.4   -4.3   986.7  0.00   0.0   0.453   0.000   25.2    28    5.4   24.4   703    1    100.0   30 
08 03 24  14:00   -3.2   -3.2   -3.4    96   -3.8   3.2    NW   1.61  20.9    NW   -4.1   -3.3   -4.2   989.2  0.00   0.0   0.449   0.000   25.2    27    4.9   24.4   702    1    100.0   30 
08 03 24  16:30   -3.1   -3.1   -3.2    96   -3.7   4.8   WNW   2.41  16.1   NNW   -5.0   -3.2   -5.1   990.1  0.00   0.0   0.447   0.000   25.9    27    5.5   24.8   703    1    100.0   30 
08 03 24  17:30   -3.2   -3.1   -3.2    96   -3.7   3.2   WNW   1.61   9.7   WNW   -4.1   -3.2   -4.1   991.4  0.00   0.0   0.448   0.000   25.7    27    5.3   24.7   702    1    100.0   30 
08 03 24  18:30   -3.3   -3.2   -3.4    96   -3.9   3.2    NW   1.61  11.3   WNW   -4.2   -3.4   -4.3   991.6  0.00   0.0   0.451   0.000   25.8    28    5.9   24.8   702    1    100.0   30 
08 03 24  23:30   -4.3   -4.2   -4.3    95   -5.0   3.2   WNW   1.61  11.3     W   -5.3   -4.4   -5.4   991.6  0.00   0.0   0.472   0.000   26.3    27    5.8   25.1   702    1    100.0   30 
08 03 25   9:00   -5.3   -5.3   -5.6    95   -6.0   3.2   WNW   1.61   8.0   WNW   -6.4   -5.3   -6.4   992.0  0.00   0.0   0.492   0.000   25.6    24    3.5   24.5   702    1    100.0   30 
08 03 25  12:30   -4.5   -4.5   -4.8    95   -5.2   4.8   WNW   2.41  14.5    NW   -6.6   -4.6   -6.6   993.6  0.00   0.0   0.476   0.000   24.7    24    2.8   23.9   703    1    100.0   30 
